"Мука стройный","2015-11-01","кадеты","шпага","False","Российские","male","Соревнования субъекта РФ"
"Активный называться","2017-12-19","юниоры","шпага","False","Российские","male","Чемпионат мира"
"Оставлять вырвать","2008-11-19","дети","сабля","True","Европейские","male","цикл U-23"
"Основание осторожно","2018-12-22","кадеты","сабля","True","Российские","female","Сателлит"
"Военный выходной","2002-04-11","взрослые","сабля","True","Мировые","male","Соревнования субъекта РФ"
"Войско сильный","2002-10-19","u-23","рапира","False","Мировые","male","Олимпийские игры"
"Победить накрыть","2006-06-24","взрослые","шпага","True","Российские","male","Сателлит"
"Лесной надежда","2016-01-29","дети","шпага","True","Мировые","male","Чемпионат мира"
"Придтись внук","2019-12-25","u-23","шпага","True","Российские","male","Сателлит"
"Склад прожить","2007-04-24","юниоры","шпага","True","Европейские","female","Олимпийские игры"
"Новый положение","2016-08-01","юниоры","сабля","True","Европейские","female","цикл U-23"
"Петербург москва","2020-06-13","u-23","рапира","False","Мировые","male","Межрегиональные соревнования"
"Гриб махнуть","2010-04-17","кадеты","сабля","False","Европейские","female","Кубок мира"
"Сначала особенность","2000-10-14","дети","рапира","False","Мировые","male","Чемпионат мира"
"Подходить задача","2003-06-04","кадеты","рапира","True","Мировые","female","Кубок мира"
"Славный лекция","2018-11-28","кадеты","шпага","False","Европейские","male","цикл U-23"
"Блюдо вена","2013-02-27","u-23","шпага","False","Российские","male","Чемпионат Европы"
"Лестница брак","2018-06-06","u-23","сабля","False","Европейские","male","Соревнования субъекта РФ"
"Сожаление мясо","2005-09-26","дети","сабля","False","Мировые","female","Всероссийские соревнования"
"Мальчишка царский","2021-06-12","дети","сабля","True","Российские","female","Чемпионат России"
"Редко родина","2015-08-31","взрослые","рапира","False","Мировые","female","Олимпийские игры"
"Несчастье громкий","2019-07-18","кадеты","сабля","False","Мировые","female","Соревнования субъекта РФ"
"Игра светиться","2016-01-11","u-23","рапира","False","Мировые","female","Соревнования ФО РФ"
"Направиться тьма","2017-03-24","u-23","сабля","True","Мировые","female","Олимпийские игры"
"Рыбак поверхность","2009-11-06","дети","сабля","True","Российские","female","Всероссийские соревнования"
"Скрывать выделить","2010-07-27","юниоры","рапира","True","Мировые","male","Чемпионат мира"
"Недалеко психологический","2018-03-03","юниоры","сабля","False","Мировые","male","Межрегиональные соревнования"
"Слеза семья","2004-11-07","взрослые","рапира","True","Российские","female","Сателлит"
"Спалить сбить","2004-07-23","взрослые","сабля","False","Мировые","male","Межрегиональные соревнования"
"Прошептать родина","2019-04-19","взрослые","рапира","False","Мировые","male","Соревнования субъекта РФ"
"Прекрасный милиционер","2001-07-25","кадеты","рапира","False","Европейские","female","Соревнования ФО РФ"
"Писатель ерунда","2006-11-21","кадеты","сабля","True","Российские","female","Соревнования ФО РФ"
"Горячий исходить","2008-04-15","кадеты","сабля","False","Мировые","male","цикл U-23"
"Безусловно необходимый","2002-01-05","взрослые","рапира","False","Российские","female","Соревнования субъекта РФ"
"Кричать поднять","2001-10-25","дети","сабля","True","Мировые","female","Сателлит"
"Выжить любопытство","2014-11-12","взрослые","рапира","False","Европейские","male","Сателлит"
"Слово вес","2007-06-19","кадеты","шпага","False","Мировые","female","Всероссийские соревнования"
"Дать клясться","2014-04-11","кадеты","шпага","True","Европейские","female","Чемпионат мира"
"Отчетливо сниться","2011-11-19","взрослые","шпага","True","Российские","female","Официальные FIE"
"Течь коротко","2008-08-04","дети","сабля","False","Мировые","female","Кубок России"
"Небо признаться","2009-02-10","дети","сабля","False","Мировые","female","Кубок России"
"Помолчать совесть","2021-09-30","дети","сабля","True","Мировые","male","Чемпионат России"
